  0.16000000E+01  0.66622580E-04  0.28487054E-04
  0.16100000E+01  0.66523456E-04  0.28695155E-04
  0.16200000E+01  0.66411691E-04  0.28902141E-04
  0.16300000E+01  0.66286935E-04  0.29107880E-04
  0.16400000E+01  0.66149172E-04  0.29312206E-04
  0.16500000E+01  0.65998885E-04  0.29514920E-04
  0.16600000E+01  0.65837227E-04  0.29715774E-04
  0.16700000E+01  0.65666158E-04  0.29914469E-04
  0.16800000E+01  0.65488550E-04  0.30110645E-04
  0.16900000E+01  0.65308191E-04  0.30303888E-04
  0.17000000E+01  0.65129702E-04  0.30493739E-04
  0.17100000E+01  0.64958330E-04  0.30679726E-04
  0.17200000E+01  0.64799623E-04  0.30861419E-04
  0.17300000E+01  0.64659012E-04  0.31038509E-04
  0.17400000E+01  0.64541321E-04  0.31210933E-04
  0.17500000E+01  0.64450277E-04  0.31379032E-04
  0.17600000E+01  0.64388055E-04  0.31543746E-04
  0.17700000E+01  0.64354934E-04  0.31706807E-04
  0.17800000E+01  0.64349089E-04  0.31870884E-04
  0.17900000E+01  0.64366590E-04  0.32039578E-04
  0.18000000E+01  0.64401641E-04  0.32217188E-04
  0.18100000E+01  0.64447169E-04  0.32408203E-04
  0.18200000E+01  0.64495831E-04  0.32616704E-04
  0.18300000E+01  0.64540821E-04  0.32845935E-04
  0.18400000E+01  0.64536099E-04  0.33095249E-04
  0.18500000E+01  0.64344326E-04  0.33292630E-04
  0.18600000E+01  0.64509539E-04  0.33417476E-04
  0.18700000E+01  0.64663285E-04  0.33676550E-04
  0.18800000E+01  0.64697691E-04  0.33942367E-04
  0.18900000E+01  0.64727362E-04  0.34207829E-04
  0.19000000E+01  0.64754252E-04  0.34476436E-04
  0.19100000E+01  0.64747426E-04  0.34746772E-04
  0.19200000E+01  0.64768555E-04  0.34992567E-04
  0.19300000E+01  0.64802354E-04  0.35271713E-04
  0.19400000E+01  0.64806192E-04  0.35555759E-04
  0.19500000E+01  0.64804134E-04  0.35843930E-04
  0.19600000E+01  0.64802698E-04  0.36137719E-04
  0.19700000E+01  0.64815323E-04  0.36443227E-04
  0.19800000E+01  0.64792816E-04  0.36776390E-04
  0.19900000E+01  0.64699899E-04  0.37105874E-04
  0.20000000E+01  0.64599482E-04  0.37428408E-04
  0.20100000E+01  0.64496868E-04  0.37753994E-04
  0.20200000E+01  0.64384833E-04  0.38083651E-04
  0.20300000E+01  0.64272076E-04  0.38417744E-04
  0.20400000E+01  0.64171982E-04  0.38756655E-04
  0.20500000E+01  0.64100511E-04  0.39100947E-04
  0.20600000E+01  0.64075999E-04  0.39451615E-04
  0.20700000E+01  0.64117949E-04  0.39810400E-04
  0.20800000E+01  0.64244656E-04  0.40180165E-04
  0.20900000E+01  0.64469997E-04  0.40565392E-04
  0.21000000E+01  0.64799668E-04  0.40972790E-04
  0.21100000E+01  0.65227228E-04  0.41411988E-04
  0.21200000E+01  0.65730441E-04  0.41896188E-04
  0.21300000E+01  0.66268605E-04  0.42442582E-04
  0.21400000E+01  0.66781640E-04  0.43072228E-04
  0.21500000E+01  0.67191632E-04  0.43809022E-04
  0.21600000E+01  0.67407324E-04  0.44677369E-04
  0.21700000E+01  0.67331627E-04  0.45698040E-04
  0.21800000E+01  0.66871664E-04  0.46881663E-04
  0.21900000E+01  0.65950297E-04  0.48219550E-04
  0.22000000E+01  0.64517637E-04  0.49672816E-04
  0.22100000E+01  0.62560941E-04  0.51163712E-04
  0.22200000E+01  0.60111850E-04  0.52576557E-04
  0.22300000E+01  0.57250898E-04  0.53775905E-04
  0.22400000E+01  0.54108878E-04  0.54642226E-04
  0.22500000E+01  0.50860360E-04  0.55112313E-04
  0.22600000E+01  0.47697426E-04  0.55204436E-04
  0.22700000E+01  0.44774573E-04  0.55016823E-04
  0.22800000E+01  0.42143888E-04  0.54703655E-04
  0.22900000E+01  0.39736072E-04  0.54426753E-04
  0.23000000E+01  0.37429930E-04  0.54261597E-04
  0.23100000E+01  0.35168681E-04  0.54136994E-04
  0.23200000E+01  0.33019414E-04  0.53957277E-04
  0.23300000E+01  0.31128666E-04  0.53714874E-04
  0.23400000E+01  0.29596981E-04  0.53452206E-04
  0.23500000E+01  0.28403732E-04  0.53195334E-04
  0.23600000E+01  0.27459116E-04  0.52951461E-04
  0.23700000E+01  0.26657635E-04  0.52721684E-04
  0.23800000E+01  0.25911422E-04  0.52503349E-04
  0.23900000E+01  0.25163013E-04  0.52293041E-04
  0.24000000E+01  0.24380067E-04  0.52088389E-04
  0.24100000E+01  0.23546628E-04  0.51887693E-04
  0.24200000E+01  0.22657246E-04  0.51689510E-04
  0.24300000E+01  0.21713856E-04  0.51492677E-04
  0.24400000E+01  0.20723757E-04  0.51296337E-04
  0.24500000E+01  0.19697677E-04  0.51099917E-04
  0.24600000E+01  0.18647840E-04  0.50903064E-04
  0.24700000E+01  0.17586355E-04  0.50705578E-04
  0.24800000E+01  0.16524111E-04  0.50507356E-04
  0.24900000E+01  0.15470209E-04  0.50308347E-04
  0.25000000E+01  0.14431779E-04  0.50108519E-04
  0.25100000E+01  0.13414075E-04  0.49907829E-04
  0.25200000E+01  0.12420708E-04  0.49706208E-04
  0.25300000E+01  0.11453943E-04  0.49503556E-04
  0.25400000E+01  0.10514987E-04  0.49299752E-04
  0.25500000E+01  0.96042476E-05  0.49094659E-04
  0.25600000E+01  0.87215388E-05  0.48888134E-04
  0.25700000E+01  0.78662378E-05  0.48680022E-04
  0.25800000E+01  0.70374027E-05  0.48470159E-04
  0.25900000E+01  0.62338612E-05  0.48258366E-04
  0.26000000E+01  0.54542766E-05  0.48044454E-04
  0.26100000E+01  0.46972019E-05  0.47828226E-04
  0.26200000E+01  0.39611228E-05  0.47609474E-04
  0.26300000E+01  0.32444952E-05  0.47387989E-04
  0.26400000E+01  0.25457770E-05  0.47163556E-04
  0.26500000E+01  0.18634554E-05  0.46935954E-04
  0.26600000E+01  0.11960723E-05  0.46704962E-04
  0.26700000E+01  0.54224560E-06  0.46470354E-04
  0.26800000E+01 -0.99309477E-07  0.46231898E-04
  0.26900000E+01 -0.72976068E-06  0.45989363E-04
  0.27000000E+01 -0.13501395E-05  0.45742510E-04
  0.27100000E+01 -0.19613220E-05  0.45491104E-04
  0.27200000E+01 -0.25640098E-05  0.45234905E-04
  0.27300000E+01 -0.31587120E-05  0.44973679E-04
  0.27400000E+01 -0.37457249E-05  0.44707196E-04
  0.27500000E+01 -0.43251146E-05  0.44435234E-04
  0.27600000E+01 -0.48966986E-05  0.44157586E-04
  0.27700000E+01 -0.54600277E-05  0.43874059E-04
  0.27800000E+01 -0.60143714E-05  0.43584482E-04
  0.27900000E+01 -0.65587030E-05  0.43288710E-04
  0.28000000E+01 -0.70916902E-05  0.42986624E-04
  0.28100000E+01 -0.76116882E-05  0.42678138E-04
  0.28200000E+01 -0.81167400E-05  0.42363201E-04
  0.28300000E+01 -0.86045828E-05  0.42041798E-04
  0.28400000E+01 -0.90726632E-05  0.41713954E-04
  0.28500000E+01 -0.95181621E-05  0.41379736E-04
  0.28600000E+01 -0.99380301E-05  0.41039255E-04
  0.28700000E+01 -0.10329035E-04  0.40692674E-04
  0.28800000E+01 -0.10687819E-04  0.40340205E-04
  0.28900000E+01 -0.11010974E-04  0.39982127E-04
  0.29000000E+01 -0.11295117E-04  0.39618783E-04
  0.29100000E+01 -0.11536983E-04  0.39250600E-04
  0.29200000E+01 -0.11733527E-04  0.38878102E-04
  0.29300000E+01 -0.11882020E-04  0.38501920E-04
  0.29400000E+01 -0.11980157E-04  0.38122820E-04
  0.29500000E+01 -0.12026162E-04  0.37741718E-04
  0.29600000E+01 -0.12018883E-04  0.37359708E-04
  0.29700000E+01 -0.11957881E-04  0.36978081E-04
  0.29800000E+01 -0.11843502E-04  0.36598349E-04
  0.29900000E+01 -0.11676923E-04  0.36222258E-04
  0.30000000E+01 -0.11460171E-04  0.35851793E-04
  0.30100000E+01 -0.11196115E-04  0.35489161E-04
  0.30200000E+01 -0.10888422E-04  0.35136763E-04
  0.30300000E+01 -0.10541502E-04  0.34797150E-04
  0.30400000E+01 -0.10160426E-04  0.34472964E-04
  0.30500000E+01 -0.97508338E-05  0.34166832E-04
  0.30600000E+01 -0.93188310E-05  0.33881211E-04
  0.30700000E+01 -0.88708674E-05  0.33618203E-04
  0.30800000E+01 -0.84136096E-05  0.33379367E-04
  0.30900000E+01 -0.79538051E-05  0.33165533E-04
  0.31000000E+01 -0.74981447E-05  0.32976656E-04
  0.31100000E+01 -0.70531261E-05  0.32811734E-04
  0.31200000E+01 -0.66249127E-05  0.32668819E-04
  0.31300000E+01 -0.62191829E-05  0.32545127E-04
  0.31400000E+01 -0.58409567E-05  0.32437261E-04
  0.31500000E+01 -0.54943910E-05  0.32341505E-04
  0.31600000E+01 -0.51825426E-05  0.32254164E-04
  0.31700000E+01 -0.49071055E-05  0.32171888E-04
  0.31800000E+01 -0.46681479E-05  0.32091943E-04
  0.31900000E+01 -0.44638807E-05  0.32012387E-04
  0.32000000E+01 -0.42904904E-05  0.31932134E-04
  0.32100000E+01 -0.41420522E-05  0.31850935E-04
  0.32200000E+01 -0.40105086E-05  0.31769271E-04
  0.32300000E+01 -0.38856671E-05  0.31688237E-04
  0.32400000E+01 -0.37551560E-05  0.31609437E-04
  0.32500000E+01 -0.36043225E-05  0.31534959E-04
  0.32600000E+01 -0.34161646E-05  0.31467478E-04
  0.32700000E+01 -0.31715574E-05  0.31410519E-04
  0.32800000E+01 -0.28501928E-05  0.31368908E-04
  0.32900000E+01 -0.24327080E-05  0.31349385E-04
  0.33000000E+01 -0.19043016E-05  0.31361244E-04
  0.33100000E+01 -0.12596816E-05  0.31416730E-04
  0.33200000E+01 -0.50850754E-06  0.31530677E-04
  0.33300000E+01  0.32021698E-06  0.31718839E-04
  0.33400000E+01  0.11767350E-05  0.31994774E-04
  0.33500000E+01  0.19938276E-05  0.32366101E-04
  0.33600000E+01  0.26955290E-05  0.32830983E-04
  0.33700000E+01  0.32103859E-05  0.33374043E-04
  0.33800000E+01  0.34866470E-05  0.33960971E-04
  0.33900000E+01  0.35055550E-05  0.34536773E-04
  0.34000000E+01  0.32888089E-05  0.35037565E-04
  0.34100000E+01  0.28974928E-05  0.35416329E-04
  0.34200000E+01  0.24220366E-05  0.35664669E-04
  0.34300000E+01  0.19653613E-05  0.35812067E-04
  0.34400000E+01  0.16233578E-05  0.35905591E-04
  0.34500000E+01  0.14675562E-05  0.35987974E-04
