  0.15400000E+01  0.38333134E+04  0.11860436E+04
  0.15500000E+01  0.38248010E+04  0.11940669E+04
  0.15600000E+01  0.38163776E+04  0.12020114E+04
  0.15700000E+01  0.38080154E+04  0.12098801E+04
  0.15800000E+01  0.37996877E+04  0.12176750E+04
  0.15900000E+01  0.37913699E+04  0.12253976E+04
  0.16000000E+01  0.37830408E+04  0.12330489E+04
  0.16100000E+01  0.37746828E+04  0.12406298E+04
  0.16200000E+01  0.37662824E+04  0.12481410E+04
  0.16300000E+01  0.37578304E+04  0.12555831E+04
  0.16400000E+01  0.37493216E+04  0.12629567E+04
  0.16500000E+01  0.37407547E+04  0.12702622E+04
  0.16600000E+01  0.37321320E+04  0.12774999E+04
  0.16700000E+01  0.37234589E+04  0.12846706E+04
  0.16800000E+01  0.37147432E+04  0.12917753E+04
  0.16900000E+01  0.37059947E+04  0.12988158E+04
  0.17000000E+01  0.36972246E+04  0.13057950E+04
  0.17100000E+01  0.36884448E+04  0.13127166E+04
  0.17200000E+01  0.36796674E+04  0.13195849E+04
  0.17300000E+01  0.36709037E+04  0.13264053E+04
  0.17400000E+01  0.36621642E+04  0.13331836E+04
  0.17500000E+01  0.36534576E+04  0.13399262E+04
  0.17600000E+01  0.36447919E+04  0.13466403E+04
  0.17700000E+01  0.36361748E+04  0.13533340E+04
  0.17800000E+01  0.36276175E+04  0.13600160E+04
  0.17900000E+01  0.36191364E+04  0.13666968E+04
  0.18000000E+01  0.36107525E+04  0.13733890E+04
  0.18100000E+01  0.36024777E+04  0.13801099E+04
  0.18200000E+01  0.35942864E+04  0.13868843E+04
  0.18300000E+01  0.35860862E+04  0.13937448E+04
  0.18400000E+01  0.35778420E+04  0.14007221E+04
  0.18500000E+01  0.35697902E+04  0.14079984E+04
  0.18600000E+01  0.35602294E+04  0.14155300E+04
  0.18700000E+01  0.35502851E+04  0.14225973E+04
  0.18800000E+01  0.35403929E+04  0.14295167E+04
  0.18900000E+01  0.35303458E+04  0.14362926E+04
  0.19000000E+01  0.35202445E+04  0.14429309E+04
  0.19100000E+01  0.35101870E+04  0.14494543E+04
  0.19200000E+01  0.35001786E+04  0.14558998E+04
  0.19300000E+01  0.34902522E+04  0.14622447E+04
  0.19400000E+01  0.34804497E+04  0.14685184E+04
  0.19500000E+01  0.34707812E+04  0.14747302E+04
  0.19600000E+01  0.34613959E+04  0.14808974E+04
  0.19700000E+01  0.34525706E+04  0.14871301E+04
  0.19800000E+01  0.34435177E+04  0.14937106E+04
  0.19900000E+01  0.34336705E+04  0.15001216E+04
  0.20000000E+01  0.34241053E+04  0.15063087E+04
  0.20100000E+01  0.34149050E+04  0.15124480E+04
  0.20200000E+01  0.34058718E+04  0.15185665E+04
  0.20300000E+01  0.33970178E+04  0.15246824E+04
  0.20400000E+01  0.33883683E+04  0.15308131E+04
  0.20500000E+01  0.33799274E+04  0.15369741E+04
  0.20600000E+01  0.33716914E+04  0.15431808E+04
  0.20700000E+01  0.33636563E+04  0.15494497E+04
  0.20800000E+01  0.33558178E+04  0.15558000E+04
  0.20900000E+01  0.33481682E+04  0.15622535E+04
  0.21000000E+01  0.33406930E+04  0.15688349E+04
  0.21100000E+01  0.33333671E+04  0.15755717E+04
  0.21200000E+01  0.33261505E+04  0.15824928E+04
  0.21300000E+01  0.33189839E+04  0.15896278E+04
  0.21400000E+01  0.33117849E+04  0.15970053E+04
  0.21500000E+01  0.33044456E+04  0.16046517E+04
  0.21600000E+01  0.32968330E+04  0.16125900E+04
  0.21700000E+01  0.32887922E+04  0.16208394E+04
  0.21800000E+01  0.32801541E+04  0.16294132E+04
  0.21900000E+01  0.32707460E+04  0.16383159E+04
  0.22000000E+01  0.32604062E+04  0.16475353E+04
  0.22100000E+01  0.32490018E+04  0.16570331E+04
  0.22200000E+01  0.32364553E+04  0.16667365E+04
  0.22300000E+01  0.32227882E+04  0.16765393E+04
  0.22400000E+01  0.32081836E+04  0.16863170E+04
  0.22500000E+01  0.31930243E+04  0.16959605E+04
  0.22600000E+01  0.31777914E+04  0.17054293E+04
  0.22700000E+01  0.31627183E+04  0.17148272E+04
  0.22800000E+01  0.31473289E+04  0.17244777E+04
  0.22900000E+01  0.31303279E+04  0.17348264E+04
  0.23000000E+01  0.31102411E+04  0.17458370E+04
  0.23100000E+01  0.30864943E+04  0.17564725E+04
  0.23200000E+01  0.30599496E+04  0.17656855E+04
  0.23300000E+01  0.30322724E+04  0.17734196E+04
  0.23400000E+01  0.30049683E+04  0.17800502E+04
  0.23500000E+01  0.29788453E+04  0.17859342E+04
  0.23600000E+01  0.29538898E+04  0.17913090E+04
  0.23700000E+01  0.29297590E+04  0.17963005E+04
  0.23800000E+01  0.29061752E+04  0.18009790E+04
  0.23900000E+01  0.28829962E+04  0.18053881E+04
  0.24000000E+01  0.28601631E+04  0.18095588E+04
  0.24100000E+01  0.28376422E+04  0.18135136E+04
  0.24200000E+01  0.28153988E+04  0.18172680E+04
  0.24300000E+01  0.27933938E+04  0.18208329E+04
  0.24400000E+01  0.27715899E+04  0.18242162E+04
  0.24500000E+01  0.27499565E+04  0.18274238E+04
  0.24600000E+01  0.27284727E+04  0.18304606E+04
  0.24700000E+01  0.27071264E+04  0.18333310E+04
  0.24800000E+01  0.26859134E+04  0.18360386E+04
  0.24900000E+01  0.26648346E+04  0.18385870E+04
  0.25000000E+01  0.26438948E+04  0.18409797E+04
  0.25100000E+01  0.26231011E+04  0.18432196E+04
  0.25200000E+01  0.26024620E+04  0.18453099E+04
  0.25300000E+01  0.25819865E+04  0.18472535E+04
  0.25400000E+01  0.25616840E+04  0.18490535E+04
  0.25500000E+01  0.25415636E+04  0.18507131E+04
  0.25600000E+01  0.25216347E+04  0.18522355E+04
  0.25700000E+01  0.25019058E+04  0.18536242E+04
  0.25800000E+01  0.24823855E+04  0.18548825E+04
  0.25900000E+01  0.24630820E+04  0.18560141E+04
  0.26000000E+01  0.24440029E+04  0.18570226E+04
  0.26100000E+01  0.24251556E+04  0.18579118E+04
  0.26200000E+01  0.24065474E+04  0.18586854E+04
  0.26300000E+01  0.23881852E+04  0.18593472E+04
  0.26400000E+01  0.23700758E+04  0.18599013E+04
  0.26500000E+01  0.23522259E+04  0.18603515E+04
  0.26600000E+01  0.23346421E+04  0.18607019E+04
  0.26700000E+01  0.23173312E+04  0.18609564E+04
  0.26800000E+01  0.23003001E+04  0.18611189E+04
  0.26900000E+01  0.22835559E+04  0.18611932E+04
  0.27000000E+01  0.22671057E+04  0.18611832E+04
  0.27100000E+01  0.22509574E+04  0.18610922E+04
