  0.21800000E+01  0.32948776E+04  0.16518798E+04
  0.21900000E+01  0.32852007E+04  0.16601276E+04
  0.22000000E+01  0.32747073E+04  0.16685650E+04
  0.22100000E+01  0.32632559E+04  0.16771583E+04
  0.22200000E+01  0.32507491E+04  0.16858480E+04
  0.22300000E+01  0.32372046E+04  0.16945422E+04
  0.22400000E+01  0.32228820E+04  0.17031191E+04
  0.22500000E+01  0.32084175E+04  0.17114492E+04
  0.22600000E+01  0.31947565E+04  0.17194503E+04
  0.22700000E+01  0.31825928E+04  0.17271964E+04
  0.22800000E+01  0.31713737E+04  0.17350709E+04
  0.22900000E+01  0.31587622E+04  0.17437290E+04
  0.23000000E+01  0.31428706E+04  0.17532253E+04
  0.23100000E+01  0.31342254E+04  0.17623945E+04
  0.23200000E+01  0.31520564E+04  0.17765265E+04
  0.23300000E+01  0.31405837E+04  0.18141690E+04
  0.23400000E+01  0.30632620E+04  0.18369424E+04
  0.23500000E+01  0.30019301E+04  0.18398635E+04
  0.23600000E+01  0.29701623E+04  0.18405374E+04
  0.23700000E+01  0.29456385E+04  0.18419088E+04
  0.23800000E+01  0.29223486E+04  0.18439716E+04
  0.23900000E+01  0.28995177E+04  0.18464727E+04
  0.24000000E+01  0.28769559E+04  0.18492219E+04
  0.24100000E+01  0.28546029E+04  0.18520962E+04
  0.24200000E+01  0.28324356E+04  0.18550155E+04
  0.24300000E+01  0.28104359E+04  0.18579259E+04
  0.24400000E+01  0.27885860E+04  0.18607903E+04
  0.24500000E+01  0.27668703E+04  0.18635825E+04
  0.24600000E+01  0.27452773E+04  0.18662841E+04
  0.24700000E+01  0.27238004E+04  0.18688819E+04
  0.24800000E+01  0.27024372E+04  0.18713667E+04
  0.24900000E+01  0.26811891E+04  0.18737319E+04
  0.25000000E+01  0.26600601E+04  0.18759731E+04
  0.25100000E+01  0.26390566E+04  0.18780874E+04
  0.25200000E+01  0.26181867E+04  0.18800732E+04
  0.25300000E+01  0.25974593E+04  0.18819297E+04
  0.25400000E+01  0.25768845E+04  0.18836569E+04
  0.25500000E+01  0.25564724E+04  0.18852555E+04
  0.25600000E+01  0.25362336E+04  0.18867266E+04
  0.25700000E+01  0.25161782E+04  0.18880718E+04
  0.25800000E+01  0.24963168E+04  0.18892931E+04
  0.25900000E+01  0.24766592E+04  0.18903926E+04
  0.26000000E+01  0.24572151E+04  0.18913730E+04
  0.26100000E+01  0.24379939E+04  0.18922370E+04
  0.26200000E+01  0.24190047E+04  0.18929877E+04
  0.26300000E+01  0.24002562E+04  0.18936283E+04
  0.26400000E+01  0.23817567E+04  0.18941622E+04
  0.26500000E+01  0.23635144E+04  0.18945928E+04
  0.26600000E+01  0.23455373E+04  0.18949238E+04
  0.26700000E+01  0.23278331E+04  0.18951587E+04
  0.26800000E+01  0.23104098E+04  0.18953013E+04
  0.26900000E+01  0.22932751E+04  0.18953551E+04
  0.27000000E+01  0.22764369E+04  0.18953238E+04
  0.27100000E+01  0.22599034E+04  0.18952107E+04
  0.27200000E+01  0.22436831E+04  0.18950190E+04
  0.27300000E+01  0.22277848E+04  0.18947519E+04
  0.27400000E+01  0.22122178E+04  0.18944122E+04
  0.27500000E+01  0.21969918E+04  0.18940025E+04
  0.27600000E+01  0.21821172E+04  0.18935250E+04
  0.27700000E+01  0.21676049E+04  0.18929818E+04
  0.27800000E+01  0.21534663E+04  0.18923748E+04
  0.27900000E+01  0.21397133E+04  0.18917057E+04
  0.28000000E+01  0.21263586E+04  0.18909760E+04
  0.28100000E+01  0.21134148E+04  0.18901873E+04
  0.28200000E+01  0.21008953E+04  0.18893414E+04
  0.28300000E+01  0.20888133E+04  0.18884401E+04
  0.28400000E+01  0.20771819E+04  0.18874856E+04
  0.28500000E+01  0.20660143E+04  0.18864807E+04
  0.28600000E+01  0.20553229E+04  0.18854286E+04
  0.28700000E+01  0.20451194E+04  0.18843335E+04
  0.28800000E+01  0.20354144E+04  0.18832003E+04
  0.28900000E+01  0.20262174E+04  0.18820347E+04
  0.29000000E+01  0.20175358E+04  0.18808437E+04
  0.29100000E+01  0.20093754E+04  0.18796352E+04
  0.29200000E+01  0.20017395E+04  0.18784184E+04
  0.29300000E+01  0.19946287E+04  0.18772036E+04
  0.29400000E+01  0.19880410E+04  0.18760023E+04
  0.29500000E+01  0.19819710E+04  0.18748273E+04
  0.29600000E+01  0.19764098E+04  0.18736926E+04
  0.29700000E+01  0.19713452E+04  0.18726133E+04
  0.29800000E+01  0.19667610E+04  0.18716055E+04
  0.29900000E+01  0.19626372E+04  0.18706865E+04
  0.30000000E+01  0.19589503E+04  0.18698740E+04
  0.30100000E+01  0.19556730E+04  0.18691863E+04
  0.30200000E+01  0.19527748E+04  0.18686417E+04
  0.30300000E+01  0.19502220E+04  0.18682581E+04
  0.30400000E+01  0.19479785E+04  0.18680528E+04
  0.30500000E+01  0.19460057E+04  0.18680420E+04
  0.30600000E+01  0.19442631E+04  0.18682400E+04
  0.30700000E+01  0.19427089E+04  0.18686588E+04
  0.30800000E+01  0.19413004E+04  0.18693073E+04
  0.30900000E+01  0.19399950E+04  0.18701908E+04
  0.31000000E+01  0.19387511E+04  0.18713105E+04
  0.31100000E+01  0.19375292E+04  0.18726637E+04
  0.31200000E+01  0.19362929E+04  0.18742433E+04
  0.31300000E+01  0.19350105E+04  0.18760391E+04
  0.31400000E+01  0.19336561E+04  0.18780377E+04
  0.31500000E+01  0.19322114E+04  0.18802237E+04
  0.31600000E+01  0.19306661E+04  0.18825807E+04
  0.31700000E+01  0.19290198E+04  0.18850925E+04
  0.31800000E+01  0.19272816E+04  0.18877439E+04
  0.31900000E+01  0.19254708E+04  0.18905222E+04
  0.32000000E+01  0.19236158E+04  0.18934172E+04
  0.32100000E+01  0.19217529E+04  0.18964226E+04
  0.32200000E+01  0.19199239E+04  0.18995362E+04
  0.32300000E+01  0.19181743E+04  0.19027609E+04
  0.32400000E+01  0.19165498E+04  0.19061051E+04
  0.32500000E+01  0.19150944E+04  0.19095840E+04
  0.32600000E+01  0.19138466E+04  0.19132206E+04
  0.32700000E+01  0.19128363E+04  0.19170467E+04
  0.32800000E+01  0.19120808E+04  0.19211032E+04
  0.32900000E+01  0.19115779E+04  0.19254398E+04
  0.33000000E+01  0.19112974E+04  0.19301121E+04
  0.33100000E+01  0.19111712E+04  0.19351774E+04
  0.33200000E+01  0.19110812E+04  0.19406884E+04
  0.33300000E+01  0.19108497E+04  0.19466869E+04
  0.33400000E+01  0.19102360E+04  0.19531993E+04
  0.33500000E+01  0.19089401E+04  0.19602345E+04
  0.33600000E+01  0.19066201E+04  0.19677833E+04
  0.33700000E+01  0.19029206E+04  0.19758139E+04
  0.33800000E+01  0.18975107E+04  0.19842591E+04
  0.33900000E+01  0.18901259E+04  0.19929996E+04
  0.34000000E+01  0.18806058E+04  0.20018570E+04
  0.34100000E+01  0.18689206E+04  0.20106107E+04
  0.34200000E+01  0.18551797E+04  0.20190335E+04
  0.34300000E+01  0.18396210E+04  0.20269296E+04
  0.34400000E+01  0.18225826E+04  0.20341632E+04
  0.34500000E+01  0.18044625E+04  0.20406737E+04
  0.34600000E+01  0.17856732E+04  0.20464736E+04
  0.34700000E+01  0.17665997E+04  0.20516298E+04
  0.34800000E+01  0.17475670E+04  0.20562369E+04
  0.34900000E+01  0.17288196E+04  0.20603922E+04
  0.35000000E+01  0.17105147E+04  0.20641802E+04
  0.35100000E+01  0.16927271E+04  0.20676663E+04
  0.35200000E+01  0.16754622E+04  0.20708972E+04
  0.35300000E+01  0.16586738E+04  0.20739044E+04
  0.35400000E+01  0.16422832E+04  0.20767093E+04
  0.35500000E+01  0.16261965E+04  0.20793261E+04
  0.35600000E+01  0.16103186E+04  0.20817650E+04
  0.35700000E+01  0.15945637E+04  0.20840335E+04
  0.35800000E+01  0.15788608E+04  0.20861374E+04
  0.35900000E+01  0.15631566E+04  0.20880805E+04
  0.36000000E+01  0.15474150E+04  0.20898656E+04
  0.36100000E+01  0.15316157E+04  0.20914940E+04
  0.36200000E+01  0.15157505E+04  0.20929660E+04
  0.36300000E+01  0.14998211E+04  0.20942812E+04
  0.36400000E+01  0.14838354E+04  0.20954386E+04
  0.36500000E+01  0.14678055E+04  0.20964375E+04
  0.36600000E+01  0.14517457E+04  0.20972769E+04
  0.36700000E+01  0.14356711E+04  0.20979563E+04
  0.36800000E+01  0.14195971E+04  0.20984756E+04
  0.36900000E+01  0.14035384E+04  0.20988351E+04
  0.37000000E+01  0.13875096E+04  0.20990353E+04
  0.37100000E+01  0.13715244E+04  0.20990770E+04
  0.37200000E+01  0.13555964E+04  0.20989607E+04
  0.37300000E+01  0.13397390E+04  0.20986861E+04
  0.37400000E+01  0.13239652E+04  0.20982521E+04
  0.37500000E+01  0.13082883E+04  0.20976558E+04
  0.37600000E+01  0.12927216E+04  0.20968922E+04
  0.37700000E+01  0.12772788E+04  0.20959525E+04
  0.37800000E+01  0.12619735E+04  0.20948234E+04
  0.37900000E+01  0.12468193E+04  0.20934848E+04
  0.38000000E+01  0.12318295E+04  0.20919067E+04
  0.38100000E+01  0.12170168E+04  0.20900440E+04
  0.38200000E+01  0.12023926E+04  0.20878287E+04
  0.38300000E+01  0.11879744E+04  0.20851555E+04
  0.38400000E+01  0.11740596E+04  0.20818834E+04
  0.38500000E+01  0.11612057E+04  0.20781605E+04
  0.38600000E+01  0.11473664E+04  0.20737332E+04
  0.38700000E+01  0.11416895E+04  0.20676297E+04
  0.38800000E+01  0.11675208E+04  0.20644200E+04
  0.38900000E+01  0.11973507E+04  0.20835041E+04
  0.39000000E+01  0.11551102E+04  0.21096082E+04
  0.39100000E+01  0.10951618E+04  0.21092241E+04
  0.39200000E+01  0.10684265E+04  0.21027498E+04
  0.39300000E+01  0.10545098E+04  0.20968098E+04
  0.39400000E+01  0.10419992E+04  0.20918266E+04
  0.39500000E+01  0.10296488E+04  0.20875304E+04
  0.39600000E+01  0.10174099E+04  0.20836877E+04
  0.39700000E+01  0.10052821E+04  0.20801464E+04
  0.39800000E+01  0.99327211E+03  0.20768116E+04
  0.39900000E+01  0.98137950E+03  0.20736267E+04
  0.40000000E+01  0.96956366E+03  0.20705616E+04
  0.40100000E+01  0.95774659E+03  0.20675881E+04
  0.40200000E+01  0.94588850E+03  0.20646374E+04
  0.40300000E+01  0.93403437E+03  0.20616523E+04
  0.40400000E+01  0.92224952E+03  0.20586241E+04
  0.40500000E+01  0.91055252E+03  0.20555447E+04
  0.40600000E+01  0.89892966E+03  0.20523973E+04
  0.40700000E+01  0.88737153E+03  0.20491636E+04
  0.40800000E+01  0.87588251E+03  0.20458268E+04
  0.40900000E+01  0.86447542E+03  0.20423732E+04
  0.41000000E+01  0.85316732E+03  0.20387933E+04
  0.41100000E+01  0.84197786E+03  0.20350813E+04
  0.41200000E+01  0.83092858E+03  0.20312352E+04
  0.41300000E+01  0.82004226E+03  0.20272565E+04
  0.41400000E+01  0.80934234E+03  0.20231493E+04
  0.41500000E+01  0.79885234E+03  0.20189201E+04
  0.41600000E+01  0.78859525E+03  0.20145768E+04
  0.41700000E+01  0.77859305E+03  0.20101283E+04
  0.41800000E+01  0.76886621E+03  0.20055841E+04
  0.41900000E+01  0.75943329E+03  0.20009538E+04
  0.42000000E+01  0.75031060E+03  0.19962466E+04
  0.42100000E+01  0.74151198E+03  0.19914718E+04
  0.42200000E+01  0.73304866E+03  0.19866379E+04
  0.42300000E+01  0.72492914E+03  0.19817528E+04
  0.42400000E+01  0.71715926E+03  0.19768242E+04
  0.42500000E+01  0.70974226E+03  0.19718587E+04
  0.42600000E+01  0.70267889E+03  0.19668628E+04
  0.42700000E+01  0.69596771E+03  0.19618422E+04
  0.42800000E+01  0.68960521E+03  0.19568024E+04
  0.42900000E+01  0.68358614E+03  0.19517481E+04
  0.43000000E+01  0.67790378E+03  0.19466839E+04
  0.43100000E+01  0.67255020E+03  0.19416140E+04
  0.43200000E+01  0.66751664E+03  0.19365421E+04
  0.43300000E+01  0.66279399E+03  0.19314720E+04
  0.43400000E+01  0.65837368E+03  0.19264068E+04
  0.43500000E+01  0.65424930E+03  0.19213500E+04
  0.43600000E+01  0.65041852E+03  0.19163050E+04
  0.43700000E+01  0.64688369E+03  0.19112756E+04
  0.43800000E+01  0.64364765E+03  0.19062673E+04
  0.43900000E+01  0.64070309E+03  0.19012889E+04
  0.44000000E+01  0.63802045E+03  0.18963543E+04
  0.44100000E+01  0.63554672E+03  0.18914799E+04
  0.44200000E+01  0.63322404E+03  0.18866676E+04
  0.44300000E+01  0.63103109E+03  0.18818890E+04
  0.44400000E+01  0.62900648E+03  0.18771326E+04
  0.44500000E+01  0.62704062E+03  0.18723798E+04
  0.44600000E+01  0.62530975E+03  0.18676107E+04
  0.44700000E+01  0.62382207E+03  0.18628695E+04
  0.44800000E+01  0.62255530E+03  0.18581654E+04
  0.44900000E+01  0.62149167E+03  0.18535030E+04
  0.45000000E+01  0.62061217E+03  0.18488849E+04
  0.45100000E+01  0.61990212E+03  0.18443129E+04
  0.45200000E+01  0.61935164E+03  0.18397886E+04
  0.45300000E+01  0.61895390E+03  0.18353131E+04
  0.45400000E+01  0.61870359E+03  0.18308877E+04
  0.45500000E+01  0.61859603E+03  0.18265135E+04
  0.45600000E+01  0.61862686E+03  0.18221914E+04
  0.45700000E+01  0.61879192E+03  0.18179225E+04
  0.45800000E+01  0.61908721E+03  0.18137079E+04
  0.45900000E+01  0.61950890E+03  0.18095483E+04
  0.46000000E+01  0.62005327E+03  0.18054449E+04
  0.46100000E+01  0.62071677E+03  0.18013983E+04
  0.46200000E+01  0.62149599E+03  0.17974094E+04
  0.46300000E+01  0.62238763E+03  0.17934788E+04
  0.46400000E+01  0.62338854E+03  0.17896073E+04
  0.46500000E+01  0.62449568E+03  0.17857953E+04
  0.46600000E+01  0.62570614E+03  0.17820431E+04
  0.46700000E+01  0.62701710E+03  0.17783512E+04
  0.46800000E+01  0.62842586E+03  0.17747196E+04
  0.46900000E+01  0.62992979E+03  0.17711487E+04
  0.47000000E+01  0.63152634E+03  0.17676384E+04
  0.47100000E+01  0.63321303E+03  0.17641889E+04
  0.47200000E+01  0.63498741E+03  0.17608003E+04
  0.47300000E+01  0.63684711E+03  0.17574726E+04
  0.47400000E+01  0.63878975E+03  0.17542060E+04
  0.47500000E+01  0.64081296E+03  0.17510005E+04
  0.47600000E+01  0.64291425E+03  0.17478564E+04
  0.47700000E+01  0.64509093E+03  0.17447738E+04
  0.47800000E+01  0.64734003E+03  0.17417530E+04
  0.47900000E+01  0.64965829E+03  0.17387943E+04
  0.48000000E+01  0.65204225E+03  0.17358976E+04
  0.48100000E+01  0.65448842E+03  0.17330631E+04
  0.48200000E+01  0.65699346E+03  0.17302902E+04
  0.48300000E+01  0.65955423E+03  0.17275786E+04
  0.48400000E+01  0.66216772E+03  0.17249282E+04
  0.48500000E+01  0.66483086E+03  0.17223388E+04
  0.48600000E+01  0.66754039E+03  0.17198105E+04
  0.48700000E+01  0.67029276E+03  0.17173431E+04
  0.48800000E+01  0.67308418E+03  0.17149361E+04
  0.48900000E+01  0.67591075E+03  0.17125894E+04
  0.49000000E+01  0.67876850E+03  0.17103023E+04
  0.49100000E+01  0.68165355E+03  0.17080744E+04
  0.49200000E+01  0.68456207E+03  0.17059051E+04
  0.49300000E+01  0.68749039E+03  0.17037939E+04
  0.49400000E+01  0.69043494E+03  0.17017404E+04
  0.49500000E+01  0.69339231E+03  0.16997440E+04
  0.49600000E+01  0.69635924E+03  0.16978047E+04
  0.49700000E+01  0.69933270E+03  0.16959221E+04
  0.49800000E+01  0.70230988E+03  0.16940963E+04
